Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10uF,C_0402_1005Metric,32.78275,-39.66825,0,top
C2,10uF,C_0402_1005Metric,34.78675,-39.66825,0,top
C3,100nF,C_0402_1005Metric,22.86,-59.436,-90,top
C4,100nF,C_0402_1005Metric,22.86,-61.468,-90,top
C5,100nF,C_0402_1005Metric,29.591,-65.659,-90,top
C6,100nF,C_0402_1005Metric,30.607,-65.659,-90,top
C7,100nF,C_0402_1005Metric,35.56,-61.468,-90,top
C8,100nF,C_0402_1005Metric,35.56,-57.912,-90,top
C9,100nF,C_0402_1005Metric,35.08,-54.864,0,top
C10,100nF,C_0402_1005Metric,27.94,-53.34,90,top
C11,100nF,C_0402_1005Metric,26.924,-53.34,90,top
C12,100nF,C_0402_1005Metric,25.908,-53.34,90,top
C13,100nF,C_0402_1005Metric,30.988,-53.34,90,top
C14,100nF,C_0402_1005Metric,28.956,-43.561,0,top
C15,15pF,C_0402_1005Metric,23.523,-70.231,180,top
C16,15pF,C_0402_1005Metric,25.654,-65.659,0,top
C17,1nF,C_0402_1005Metric,28.956,-42.545,180,top
C18,100nF,C_0402_1005Metric,32.766,-68.735,-90,top
C19,1uF,C_0402_1005Metric,32.738,-53.594,0,top
C20,1uF,C_0402_1005Metric,29.972,-53.34,90,top
D1,BAT60A,D_SOD-323,33.147,-35.687,180,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,33.655,-66.294,0,top
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,29.21,-29.21,180,top
Q1,DMG1012T,SOT-523,28.585,-40.648,0,top
R1,5.1K,R_0402_1005Metric,29.337,-37.719,180,top
R2,10K,R_0402_1005Metric,22.86,-43.18,90,top
R3,1K,R_0402_1005Metric,23.876,-43.18,-90,top
R4,1K,R_0402_1005Metric,23.525,-71.374,0,top
R5,27,R_0402_1005Metric,26.926,-51.562,0,top
R6,27,R_0402_1005Metric,29.208,-50.8,0,top
R7,5.6k,R_0402_1005Metric,33.77075,-37.63625,0,top
R8,10k,R_0402_1005Metric,35.54875,-38.14225,-90,top
R9,200K,R_0402_1005Metric,30.226,-38.862,180,top
R10,100K,R_0402_1005Metric,28.194,-38.862,180,top
R11,5.1K,R_0402_1005Metric,27.305,-35.814,0,top
SW1,BOOTSELECT,SW_SPST_B3U-1000P,24.003,-36.83,-90,top
SW2,USER_BTN,SW_SPST_B3U-1000P,29.845,-69.723,90,top
SW3,RST,SW_SPST_B3U-1000P,34.29,-49.911,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,29.21,-59.944,0,top
U2,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,26.924,-47.244,0,top
U3,AP2112K-3.3,SOT-23-5,33.89775,-42.20825,0,top
Y1,ABM8-272-T3,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,24.384,-67.945,180,top
